conversation_id_str,created_at,favorite_count,label,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.86E+18,Fri Nov 15 23:36:57 +0000 2024,0,depresi,aku sedih pdhl lg pgn di support,1.86E+18,,,,,,,,,,
1.86E+18,Fri Nov 15 23:36:39 +0000 2024,0,normal,@muh_basra Keknya beban depresi pada cash for healing ga si kak (?) wkwkwk,1.86E+18,,,,,,,,,,
1.89E+18,Fri Jan 31 23:51:35 +0000 2025,1,depresi,gue udah di titik cape banget nutup nutupin image keluarga yang harmonis selama ini. iya gue harmonis tapi lebih banyaknya ga terasa. kontrol emosional nyokap yg ga pernah bisa dijaga peran support yang ga pernah gue dapet untuk gue ngelakuin apapun di kuliah,1.89E+18,,,in,,0,1,0,https://x.com/babajiie/status/1885476051121561889,1.68E+18,babajiie
1.89E+18,Fri Jan 31 23:30:44 +0000 2025,0,depresi,Kadang pengen gw ledakin tapi takut ada yg nyiksa diri. Ntar gw gw juga yg merasa bersalah,1.89E+18,,,in,Seven heaven,0,0,0,https://x.com/gadiskostan/status/1885470803027951825,1.68E+18,gadiskostan
1.89E+18,Fri Jan 31 23:27:21 +0000 2025,4,normal,Rasa bersalah juga kalau jumpa mashayikh tak cuba kucup kepala mereka. Tapi sebab sedar diri pendek kan malu pula nak jengket.,1.89E+18,,,in,,0,0,0,https://x.com/musaddad00/status/1885469950573211923,1.78E+18,musaddad00
1.89E+18,Fri Jan 31 23:23:14 +0000 2025,0,normal,Intinya gak semua orang itu pola pikirnya sama kamu. Sebagian orang menjalani hidup secara tenang tanpa stres Bisa jadi kamu aja yang stres. Kamu gak ketemu orang yang bisa menghargai kamu. Karena apa? Kamu gak menghargai diri kamu sendiri.,1.89E+18,,royyana1304971,in,,0,1,0,https://x.com/royyana1304971/status/1885468917801607438,1.33E+18,royyana1304971
1.89E+18,Fri Jan 31 23:51:08 +0000 2025,0,depresi,cape bgt pengen out dr homebase,1.89E+18,,,en,—public diary,0,0,0,https://x.com/selenara__/status/1885475937984405510,1.25E+18,selenara__
1.89E+18,Fri Jan 31 23:51:01 +0000 2025,3,depresi,ajarin aku biar sabar jd caregiver dong hampir 3 minggu d rumah udh mau gila ya Allah. Cape...,1.89E+18,,,in,south tangerang,0,1,0,https://x.com/holyytrashyy/status/1885475909756739878,1.17E+18,holyytrashyy
1.89E+18,Fri Jan 31 22:59:00 +0000 2025,1,depresi,lelah tetapi seolah enggan menyerah,1.89E+18,,,in,,0,0,0,https://x.com/pesankematian29/status/1885462817673011674,1.69E+18,pesankematian29
1.89E+18,Fri Jan 31 22:32:55 +0000 2025,0,depresi,orang miskin kalo udah mentok direndahin mulu antara bunuh diri atau keluarga lo yg jahat itu yg bakal dimutilasi dijadiin sop,1.89E+18,,taufikahmd,in,,0,0,0,https://x.com/taufikahmd/status/1885456253289455712,1520184806,taufikahmd
1.89E+18,Fri Jan 31 22:13:40 +0000 2025,0,normal,Pantangmenyapa pagi tiba Pabila malam belum sirna Pantulancahya beri dahaga Panoramapagi dtg mnyapa Pasrahbrjuang takbrtenaga Pabilaefek kenangan masa Patutkobarkan apimmbara Pantang menyerah berlaga Pandang ke depan bahagia Pabila langkah terkendala Pasrah hidup biasa saja,1.89E+18,,,in,,0,0,0,https://x.com/Edwardstorus/status/1885451407614239199,1.53E+18,Edwardstorus
1.89E+18,Fri Jan 31 22:11:21 +0000 2025,0,normal,gue kemaren lagi sedih dan stres banget akun utama gue ke susi,1.89E+18,,,in,kacang,0,0,0,https://x.com/ciuonie/status/1885450825063161997,1.82E+18,ciuonie
1.89E+18,Fri Jan 31 22:06:50 +0000 2025,0,depresi,Dulu tidur jadi penyembuh stres atau alat buat ngelupain stres paling gampang dan murah. Skrng bahkan buat tidur aja gua males karena bukannya ngelupain malah dateng mulu di mimpi anj. Setiap bangun tidur langsung hampa perasaan dan semua ga enak pokoknya.,1.89E+18,,,in,,0,1,0,https://x.com/DinginAnget/status/1885449690243883263,1.06E+18,DinginAnget
1.89E+18,Fri Jan 31 21:55:57 +0000 2025,5,depresi,ngerasa gagal dan bersalah krn kok bisa missed sampe segitunya bc keep in mind in that scenario dd is like 18 and pregnancy at any age is a life or death situation terus jg kok bisa dd tega bohongin koko segitunya emg koko kurang terbuka gimana does dd not feel safe w him?,1.89E+18,,melletfelle,in,,0,1,0,https://x.com/melletfelle/status/1885446948850983085,1.81E+18,melletfelle
1.89E+18,Fri Jan 31 21:35:37 +0000 2025,0,depresi,gue cuma mau mati ya yaudah biasa aja gue ga mau ngebebanin siapun atas kematian gue. gue ga mau orang orang ngeliat gue depresi selama seumur hidup gue ini &amp; gue ga mau orang orang umum nyari alasan gue bundir gue ga mau banget. cukup gue aja yg tau semuanya gimana gue hidup,1.89E+18,,sshajeas,in,,0,1,0,https://x.com/sshajeas/status/1885441831712022580,1.88E+18,sshajeas
