label,full_text
1,aku sedih padahal pengin support
0,kayaknya beban depresi cash for healing enggak kak wkwkwk
1,gue titik capek banget nutup menutupi image keluarga harmonis selama iya gue harmonis lebih banyaknya enggak terasa kontrol emosional nyokap enggak pernah dijaga peran support enggak pernah gue untuk gue melakukan apapun di kuliah
1,kadang pengin gue ledakin takut yang nyiksa diri entar gue gue yang merasa bersalah
0,rasa bersalah kalau jumpa mashayikh tak cuba kucup kepala tapi sedar diri pendek kan malu nak jengket
0,intinya enggak semua orang pola pikirnya sama kamu sebagian orang menjalani hidup tenang stres jadi kamu stres kamu enggak ketemu orang yang bisa menghargai kamu apa kamu enggak menghargai diri kamu sendiri
1,capek banget pengin out homebase
1,ajarkan aku biar sabar jadi caregiver dong hampir 3 minggu rumah mau gila allah capek
1,lelah seolah enggan menyerah
1,orang miskin kalo mentok direndahin mulu bunuh diri keluarga lo jahat yang bakal dimutilasi dijadikan sop
0,pantangmenyapa pagi tiba pabila malam sirna pantulancahya beri dahaga panoramapagi datang mnyapa pasrahbrjuang takbrtenaga pabilaefek kenangan masa patutkobarkan apimmbara pantang menyerah berlaga pandang depan bahagia pabila langkah terkendala pasrah hidup biasa
0,gue kemarin sedih stres banget akun utama gue susi
1,dulu tidur jadi penyembuh stres alat buat ngelupain stres paling gampang murah sekarang bahkan buat tidur gua malas bukannya ngelupain malah datang mulu mimpi anjing bangun tidur langsung hampa perasaan semua enggak enak pokoknya
1,merasa gagal bersalah kok missed sebegitunya baca keep mind that scenario dd is like 18 and pregnancy at any age is a life orang death situation terus kok dd tega bohongin koko sebegitunya memang koko kurang terbuka bagaimana does dd not feel safe gue him
1,gue cuma mau mati yaudah biasa gue enggak mau ngebebanin siapun atas kematian gue gue enggak mau orang orang melihat gue depresi selama seumur hidup gue amp gue enggak mau orang orang umum mencari alasan gue bundir gue enggak mau banget cukup gue yang tau semuanya bagaimana gue hidup
0,reminder sedang merasakan kesulitan membutuhkan teman bicara mungkin sangat membantu kalau membicarakannya profesional bisa membantu mengatasi sedang kalian hadapi memiliki niat mencelakai diri sendiri bvndr mengalami depresi
0,rapa be like kau mau bunuh perlahan diri
0,jangan coba bunuh diri nder
1,kadang rasanya pengin balik ke tahuntahun even bukan bikin bahagia banget but was comfortable enough for me meskipun waktu lagi depresi rasa capeknya masih aku tahan beda banget sama sekarang
1,akhirnya lelah menyerah
0,salah satu tingkat bunuh diri pria lebih tinggi oke guys merasa laki laki kalo enggak kuat bundir ya pendem sampai ceritanya pas qna sama malaikat mungkar nakir
1,tenang buat apaabunuh diri
0,sedih banget bunuh diri
1,paling benar lakilaki memang bunuh dirigila mendem cerita kalau cerita langsung dibandingin soalnya
0,jangan pernah menyerah kamu kamu lelah lelah istirahat
0,mata israel hamas teroris hamas kerap kali meneror warga israel degan aksi nya mulai bom bunuh diri penusukan random warga israel menabrakkan truknya kerumunan warga israel aksi tersebut shah melebeli hamas teroris
1,hilang nyawa damai miris kalo negara maju pihak penanggung jawab kepala sekolah sama bersangkutan acara mengundurkan diri merasa malu bersalah atas hilangnya nyawa moral dijunjung tinggi kalo misalkan enggak langsung dipecat hukum berlaku
1,i think im the type of friend kalo distancing dirikecewa kelihatan banget deh hummz enggak mau bikin orang ovtbersalah sebenarnya
1,kalo aku gagal menyerah aku dikenang anak nakal kurang bersyukur
1,ukt ku dibayarr gaji freelance mana nutup wkwk
0,melihat pemerintah negara tersebut bagaimana menggembling pendidikan awal kanakkanak asas kehidupan mengesakan allah swt kemudian barulah dunia kehidupan berterabur lihatlah berapa ramai manusia bunuh diri negara tidak kenal allah
0,perlu ingat orang depresi menyadari kalo diri nya sedang mengalami depresi jadi temani orang tersebut dengar perkataan nya hanya butuh dengar membutuhkan masukan mu
